word,phonetic,sentence,chinese
settlement,/ˈsetlmənt/,The two companies reached a legal settlement.,n. 解决；协议；定居点；结算
several,/ˈsevrəl/,Several people were waiting at the bus stop.,det./pron. 几个；数个 adj. 各自的
severe,/sɪˈvɪə(r)/,The patient is in severe pain.,adj. 严重的；严厉的；严峻的；朴素的
shape,/ʃeɪp/,The cookies were in the shape of stars.,n. 形状；外形；状况 v. 塑造；使成形；决定
share,/ʃeə(r)/,They agreed to share the cost of the meal.,v. 分享；分担；共有 n. 一份；股份；份额
sharp,/ʃɑːp/,Be careful, the knife is very sharp.,adj. 锋利的；尖锐的；急剧的；灵敏的 adv. 准时地；急剧地
shelter,/ˈʃeltə(r)/,They sought shelter from the rain under a tree.,n. 遮蔽处；避难所；庇护 v. 躲避；庇护
sophisticated,/səˈfɪstɪkeɪtɪd/,The device uses sophisticated technology.,adj. 精密的；复杂的；老练的；高雅的
sovereign,/ˈsɒvrɪn/,The sovereign has the power to make laws.,n. 君主；元首 adj. 有主权的；至高无上的
sow,/səʊ/,Farmers sow seeds in the spring.,v. 播种；散布；激起 n. 母猪
toil,/tɔɪl/,They toiled all day in the fields.,v. 苦干；艰难地行进 n. 苦工；劳累的工作
tone,/təʊn/,She spoke in a friendly tone.,n. 语气；音调；色调；风格 v. 使更健壮；给…定调
topic,/ˈtɒpɪk/,The main topic of discussion was climate change.,n. 话题；主题；题目
