word,phonetic,sentence,chinese
commercial,/kəˈmɜːʃl/,The TV show was interrupted by a commercial.,adj. 商业的；营利的；商业化的 n. 商业广告
commission,/kəˈmɪʃn/,She received a commission for each painting she sold.,n. 委员会；佣金，回扣；委托，任务 v. 委托，委任；使（船舰）服役
commit,/kəˈmɪt/,He promised to commit more time to his family.,v. 犯（罪、错）；承诺，保证；投入；把...托付给
committee,/kəˈmɪti/,The planning committee will meet next week.,n. 委员会
column,/ˈkɒləm/,She writes a weekly column for the newspaper.,n. 柱，圆柱；纵队，纵行；（报纸、杂志的）专栏
combat,/ˈkɒmbæt/,The soldiers were trained to combat the enemy.,n. 战斗，格斗 v. 与...斗争，防止
combine,/kəmˈbaɪn/,Combine the flour and eggs to make the dough.,v. （使）结合，联合；兼有 n. 联合企业；联合收割机
command,/kəˈmɑːnd/,The general gave the command to attack.,n. 命令，指挥；控制，掌握；司令部 v. 命令，指挥；博得，值得；俯瞰
commend,/kəˈmend/,The teacher commended the student for his hard work.,v. 表扬，称赞；推荐
comment,/ˈkɒment/,He made a positive comment about the new policy.,n. 评论，意见 v. 评论，发表意见
community,/kəˈmjuːnəti/,The local community organized a clean-up event.,n. 社区，社会；团体，界；共有，共享
detect,/dɪˈtekt/,The test can detect the virus early.,v. 发现，察觉；侦查，探测
deter,/dɪˈtɜː(r)/,High prices may deter people from buying.,v. 阻止，威慑，使不敢
deteriorate,/dɪˈtɪəriəreɪt/,The patient's condition began to deteriorate.,v. 恶化，变坏，退化
determine,/dɪˈtɜːmɪn/,We need to determine the cause of the problem.,v. 查明，确定；决定，支配；下决心
develop,/dɪˈveləp/,The company plans to develop a new product.,v. 发展，开发；成长，发育；患（病）；阐述；显影
commodity,/kəˈmɒdəti/,Oil is an important global commodity.,n. 商品，货物；有用的东西
common,/ˈkɒmən/,It's common for children to catch colds in winter.,adj. 常见的，普通的；共有的，共同的 n. 公共用地
communicate,/kəˈmjuːnɪkeɪt/,We communicate with our overseas team via video call.,v. 交流，沟通；传达，传递；传染；相通
communication,/kəˌmjuːnɪˈkeɪʃn/,Good communication is key to a successful team.,n. 交流，沟通；通讯；信息，消息；交通联系
communism,/ˈkɒmjənɪzəm/,Communism is a political and economic ideology.,n. 共产主义
independence,/ˌɪndɪˈpendəns/,The country gained its independence in 1947.,n. 独立，自主；自立
independent,/ˌɪndɪˈpendənt/,She is an independent thinker who makes her own decisions.,adj. 独立的，自主的；自立的；无党派的 n. 无党派者
index,/ˈɪndeks/,The book has an index at the back.,n. 索引；指数，指标；标志 v. 为...编索引；将（工资等）与指数挂钩
mere,/mɪə(r)/,The mere thought of public speaking makes him nervous.,adj. 仅仅的，只不过的；极小的
merely,/ˈmɪəli/,He is merely a child, don't be too hard on him.,adv. 仅仅，只不过
plausible,/ˈplɔːzəbl/,His explanation sounds plausible, but I'm not sure I believe it.,adj. 貌似合理的，貌似可信的；花言巧语的
device,/dɪˈvaɪs/,This electronic device can measure your heart rate.,n. 装置，设备；手段，策略；炸弹，爆炸装置
devise,/dɪˈvaɪz/,They devised a plan to raise money for charity.,v. 设计，发明，想出
ensure,/ɪnˈʃɔː(r)/,Please ensure that all windows are closed before leaving.,v. 确保，保证；使安全
entail,/ɪnˈteɪl/,The new job will entail a lot of travel.,v. 使必要，需要；限定继承 n. 限定继承；限定继承的财产
indeed,/ɪnˈdiːd/,It was indeed a wonderful performance.,adv. 的确，确实；甚至；真的吗？（表示惊讶或兴趣）
political,/pəˈlɪtɪkl/,The decision was more political than practical.,adj. 政治的，政治上的；政党的；关心政治的
politician,/ˌpɒləˈtɪʃn/,The politician gave a speech about education reform.,n. 政治家，政客
politics,/ˈpɒlətɪks/,He studied politics at university.,n. 政治，政治学；政治活动；政见，政治观点
poll,/pəʊl/,The latest poll shows the president's approval rating has dropped.,n. 民意调查，民意测验；投票选举；投票数 v. 对...进行民意测验；获得（票数）
ponder,/ˈpɒndə(r)/,She pondered the question before answering.,v. 沉思，仔细考虑
plea,/pliː/,The defendant entered a plea of not guilty.,n. 恳求，请求；抗辩，答辩；借口，托辞
plead,/pliːd/,He pleaded with his parents to let him go to the concert.,v. 恳求，请求；为...辩护；提出...为理由
plot,/plɒt/,The movie has an exciting plot.,n. 情节；阴谋；小块土地 v. 密谋，策划；绘制（图表）；设计情节
policy,/ˈpɒləsi/,The company has a strict no-smoking policy.,n. 政策，方针；保险单
polite,/pəˈlaɪt/,It is polite to say "please" and "thank you".,adj. 有礼貌的，客气的；文雅的，上流的
