word,phonetic,sentence,chinese
suggestion,/səˈdʒes.tʃən/,Thank you for your helpful suggestion.,n. 建议，提议；暗示，联想；微量，迹象
suicide,/ˈsuː.ɪ.saɪd/,Talking about your problems can help prevent suicide.,n. 自杀；自取灭亡的行为
suit,/suːt/,He wore a new suit to the interview.,n. 套装，西装；诉讼 v. 适合，适宜；相配，合身
suitable,/ˈsuː.tə.bəl/,This movie is not suitable for young children.,adj. 合适的，适宜的，适当的
super,/ˈsuː.pər/,That's a super idea!,adj. 极好的，超级的 adv. 特别，非常
superb,/suːˈpɜːb/,The performance was absolutely superb.,adj. 极好的，卓越的，杰出的
superficial,/ˌsuː.pəˈfɪʃ.əl/,He only has a superficial knowledge of the subject.,adj. 表面的，表层的；肤浅的，浅薄的
superfluous,/suːˈpɜː.flu.əs/,The report contained a lot of superfluous details.,adj. 多余的，过剩的，不必要的
superior,/suːˈpɪə.ri.ər/,This product is superior in quality.,adj. 更好的，更优的；有优越感的 n. 上级，长官；更好的人（或物）
superiority,/suːˌpɪə.riˈɒr.ə.ti/,They claimed the superiority of their technology.,n. 优越（性），优势
supervise,/ˈsuː.pə.vaɪz/,The teacher will supervise the exam.,v. 监督，管理，指导
trigger,/ˈtrɪɡ.ər/,The loud noise triggered the alarm.,n. 扳机；起因，诱因 v. 引发，触发；开动
triumph,/ˈtraɪ.ʌmf/,Winning the race was a great triumph for her.,n. 胜利，成功；狂喜 v. 获胜，成功
assure,/əˈʃɔːr/,I can assure you that everything is fine.,v. 向…保证，使确信；确保
assurance,/əˈʃɔː.rəns/,He gave me his assurance that he would help.,n. 保证，担保；把握，信心；保险
astonish,/əˈstɒn.ɪʃ/,The magician's trick astonished the audience.,v. 使惊讶，使吃惊
atmosphere,/ˈæt.mə.sfɪər/,The restaurant has a friendly atmosphere.,n. 大气，大气层；气氛，氛围
council,/ˈkaʊn.səl/,The city council will meet tomorrow.,n. 委员会，理事会；地方议会
counsel,/ˈkaʊn.səl/,She sought legal counsel before signing the contract.,n. 劝告，建议；律师，法律顾问 v. 建议，劝告
drama,/ˈdrɑː.mə/,I enjoy watching historical dramas.,n. 戏剧；戏剧性事件
dramatic,/drəˈmæt.ɪk/,There has been a dramatic increase in prices.,adj. 戏剧的；戏剧性的，激动人心的；急剧的，显著的
exploit,/ɪkˈsplɔɪt/,The company was accused of exploiting its workers.,v. 剥削；利用；开发 n. /ˈek.splɔɪt/ 英勇行为，功绩
explore,/ɪkˈsplɔːr/,They want to explore the possibility of working together.,v. 探索，探究；勘探，勘察
intellectual,/ˌɪn.təlˈek.tʃu.əl/,She enjoys intellectual conversations.,adj. 智力的，脑力的；需智力的 n. 知识分子，脑力劳动者
intelligence,/ɪnˈtel.ɪ.dʒəns/,Dolphins are known for their high intelligence.,n. 智力，智慧；情报，情报机构
intelligent,/ɪnˈtel.ɪ.dʒənt/,He is an intelligent student who asks good questions.,adj. 聪明的，有智慧的；智能的
intelligible,/ɪnˈtel.ɪ.dʒə.bəl/,Please make your instructions more intelligible.,adj. 可理解的，明白易懂的
