word,phonetic,sentence,chinese
input,/ˈɪnpʊt/,We need your input for this project.,n. 输入；投入；意见 v. 输入（信息）
inquiry,/ɪnˈkwaɪəri/,The police are making inquiries.,n. 询问，打听；调查（同 enquiry）
lecture,/ˈlektʃə(r)/,The professor gave a lecture on history.,n. 讲座，讲课；训斥 v. 讲课；训斥
legacy,/ˈleɡəsi/,He left a legacy of kindness.,n. 遗产；遗留物
legend,/ˈledʒənd/,The story of King Arthur is a famous legend.,n. 传说，传奇；传奇人物；图例
lend,/lend/,Can you lend me your pen?,v. 借给，借出；提供，增添
lens,/lenz/,He cleaned the lens of his camera.,n. 透镜，镜片；晶状体
lest,/lest/,He spoke quietly lest he wake the baby.,conj. 唯恐，免得
poke,/pəʊk/,Don't poke the dog with a stick.,v. 戳，捅；伸出 n. 戳，捅
polar,/ˈpəʊlə(r)/,Polar bears live in the Arctic.,adj. 极地的；截然相反的；磁极的
pole,/pəʊl/,The flag was attached to the top of the pole.,n. 杆，柱；地板，天花板；极点 v. 用杆支撑
pollute,/pəˈluːt/,Factories should not pollute the river.,v. 污染，弄脏；玷污
pollution,/pəˈluːʃn/,Air pollution is a serious problem.,n. 污染；污染物
pool,/puːl/,The children are swimming in the pool.,n. 水池；水坑；共用物 v. 集中（资源等）
remark,/rɪˈmɑːk/,He made a funny remark about the food.,n. 评论，言论 v. 评论，谈论；注意到
remarkable,/rɪˈmɑːkəbl/,She has made remarkable progress.,adj. 非凡的，卓越的；值得注意的
greedy,/ˈɡriːdi/,The greedy child ate all the cookies.,adj. 贪婪的，贪心的；渴望的
green,/ɡriːn/,The grass is very green in spring.,adj. 绿色的；未成熟的；环保的 n. 绿色；草地 v. 使变绿
greenhouse,/ˈɡriːnhaʊs/,Tomatoes are grown in the greenhouse.,n. 温室，暖房
greet,/ɡriːt/,She greeted her guests with a smile.,v. 问候，迎接；对…作出反应；映入眼帘
greeting,/ˈɡriːtɪŋ/,He sent a birthday greeting to his friend.,n. 问候，招呼；问候语
