word,phonetic,sentence,chinese
expose,/ɪkˈspəʊz/,The article exposed the corruption scandal.,v. 暴露，揭露；使接触；使曝光
exposure,/ɪkˈspəʊʒə(r)/,Prolonged exposure to the sun can cause sunburn.,n. 暴露，揭露；接触；曝光；公开露面
express,/ɪkˈspres/,She expressed her gratitude with a smile.,v. 表达，表示；快运 adj. 特快的；明确的 n. 快车；快递服务
expression,/ɪkˈspreʃn/,His facial expression showed surprise.,n. 表达；表情；词语；表现方式
extend,/ɪkˈstend/,We decided to extend our holiday by a week.,v. 延长，延伸；扩大；提供，给予
intense,/ɪnˈtens/,She felt intense pain.,adj. 强烈的，剧烈的；紧张的；热情的；认真的
intensity,/ɪnˈtensəti/,The intensity of the storm increased.,n. 强度；强烈；紧张
human,/ˈhjuːmən/,Helping others is a basic human instinct.,adj. 人的，人类的；有人性的 n. 人，人类
humanity,/hjuːˈmænəti/,We must act with humanity and compassion.,n. 人类；人性；人道；人文学科
humble,/ˈhʌmbl/,Despite his success, he remained humble.,adj. 谦逊的；简陋的；低下的 v. 使谦逊；轻松击败
intend,/ɪnˈtend/,What do you intend to do next?,v. 打算，计划；意指
intention,/ɪnˈtenʃn/,Her intention was to help, not to interfere.,n. 意图，目的；打算
interpret,/ɪnˈtɜːprɪt/,Can you interpret what he said?,v. 解释，说明；口译；理解
lose,/luːz/,Try not to lose your keys.,v. 失去，丢失；输掉；迷失；浪费；使沉溺于
loss,/lɒs/,The company reported a significant loss.,n. 丧失，损失；亏损；失败
intensive,/ɪnˈtensɪv/,She took an intensive language course.,adj. 加强的，集中的；密集的；精耕细作的
extensive,/ɪkˈstensɪv/,The fire caused extensive damage.,adj. 广阔的，广泛的；大量的
extent,/ɪkˈstent/,I was surprised by the extent of his knowledge.,n. 程度，范围；面积，大小
intercourse,/ˈɪntəkɔːs/,Social intercourse is important for mental health.,n. 交往，交流；性交
interest,/ˈɪntrəst/,She has a keen interest in history.,n. 兴趣；利息；利益；权益 v. 使感兴趣；使参与
interior,/ɪnˈtɪəriə(r)/,The interior of the house was beautifully decorated.,n. 内部，里面；内陆；内政 adj. 内部的；国内的；内政的
internal,/ɪnˈtɜːnl/,The company is facing internal conflicts.,adj. 内部的；体内的；国内的；内心的
international,/ˌɪntəˈnæʃnəl/,He works for an international organization.,adj. 国际的，世界性的 n. 国际比赛；国际组织
low,/ləʊ/,The table is too low for me.,adj. 低的；矮的；低下的；低声的；情绪低落的 adv. 低；低声地；低下地 n. 低点；低水平
lower,/ˈləʊə(r)/,Please lower your voice.,v. 降低，减少；放下 adj. 较低的；下级的；下游的
lucrative,/ˈluːkrətɪv/,He found a lucrative job in finance.,adj. 获利多的，赚钱的
nerve,/nɜːv/,It takes a lot of nerve to speak in public.,n. 神经；勇气，胆量；厚颜 v. 鼓起勇气
nervous,/ˈnɜːvəs/,She felt nervous before the exam.,adj. 神经的；紧张不安的；神经质的
nevertheless,/ˌnevəðəˈles/,It was raining; nevertheless, they went for a walk.,adv. 然而，不过 conj. 然而，尽管如此
